connection_id,changelog_id,field,field_type,field_id,from_value,from_string,to_value,to_string,_raw_data_params,_raw_data_table,_raw_data_id,_raw_data_remark
2,10645,Rank,custom,,,,,Ranked lower,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12445,
2,10646,Fix Version,freshrelease,,,,10008,v2.7.0,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12442,
2,10647,Fix Version,freshrelease,,,,10008,v2.7.0,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12443,
2,10648,Fix Version,freshrelease,,,,10008,v2.7.0,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12444,
2,10649,Fix Version,freshrelease,,,,10008,v2.7.0,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12446,
2,10650,Fix Version,freshrelease,,,,10008,v2.7.0,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12445,
2,10655,Fix Version,freshrelease,,,,10008,v2.7.0,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12449,
2,10656,Fix Version,freshrelease,,,,10008,v2.7.0,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12447,
2,10657,Fix Version,freshrelease,,,,10008,v2.7.0,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12448,
2,10659,Epic Link,custom,,,,10073,EE-11,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12441,
2,10660,Epic Link,custom,,,,10073,EE-11,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12442,
2,10661,Epic Link,custom,,,,10073,EE-11,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12443,
2,10662,Epic Link,custom,,,,10073,EE-11,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12444,
2,10665,Epic Link,custom,,,,10074,EE-12,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12446,
2,10667,Epic Link,custom,,,,10073,EE-11,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12445,
2,10669,Epic Link,custom,,,,10069,EE-7,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12449,
2,10670,Epic Link,custom,,,,10069,EE-7,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12447,
2,10671,Epic Link,custom,,,,10069,EE-7,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12448,
2,10679,Epic Link,custom,,,,10075,EE-13,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12450,
2,10680,Epic Link,custom,,,,10075,EE-13,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12451,
2,10681,Epic Link,custom,,,,10075,EE-13,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12452,
2,10682,Epic Link,custom,,,,10075,EE-13,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12453,
2,10686,Sprint,custom,,,,7,Sprints Sprint 1,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12447,
2,10687,Sprint,custom,,,,7,Sprints Sprint 1,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12442,
2,10688,Sprint,custom,,,,7,Sprints Sprint 1,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12444,
2,10689,Sprint,custom,,,,7,Sprints Sprint 1,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12446,
2,10690,Sprint,custom,,,,7,Sprints Sprint 1,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12441,
2,10691,Sprint,custom,,,,7,Sprints Sprint 1,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12448,
2,10692,Sprint,custom,,,,7,Sprints Sprint 1,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12443,
2,10693,Sprint,custom,,,,7,Sprints Sprint 1,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12445,
2,10694,Sprint,custom,,,,7,Sprints Sprint 1,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12450,
2,10695,Sprint,custom,,,,7,Sprints Sprint 1,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12452,
2,10696,Sprint,custom,,,,7,Sprints Sprint 1,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12449,
